dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
50000,4,0.002438,3.646575,3.643,0.920,0.009,100.00
50000,4,0.002520,3.614048,3.612,0.911,0.008,100.00
50000,4,0.002742,3.627697,3.626,0.915,0.008,100.00
50000,4,0.002428,3.753461,3.748,0.947,0.011,100.00
50000,4,0.002537,3.719782,3.715,0.938,0.010,100.00
50000,4,0.002566,3.660938,3.654,0.928,0.013,100.00
50000,4,0.002525,3.620772,3.618,0.913,0.008,100.00
50000,4,0.002348,3.622852,3.615,0.916,0.013,100.00
50000,4,0.002690,3.575903,3.571,0.904,0.011,100.00
50000,4,0.002449,3.613146,3.610,0.912,0.009,100.00
50000,4,0.002494,3.520682,3.517,0.890,0.010,100.00
50000,4,0.002641,3.543438,3.538,0.895,0.011,100.00
50000,4,0.002630,3.543368,3.541,0.894,0.008,100.00
50000,4,0.002559,3.573673,3.571,0.903,0.008,100.00
50000,4,0.002726,3.667678,3.664,0.926,0.010,100.00
50000,4,0.002455,3.679322,3.676,0.930,0.009,100.00
50000,4,0.002871,3.607688,3.604,0.912,0.010,100.00
50000,4,0.002594,3.625707,3.618,0.915,0.014,100.00
50000,4,0.002445,3.667162,3.664,0.925,0.009,100.00
50000,4,0.002639,3.686717,3.683,0.931,0.009,100.00
50000,4,0.002510,3.663080,3.660,0.924,0.009,100.00
50000,4,0.002419,3.641987,3.639,0.919,0.009,100.00
50000,4,0.002562,3.660357,3.658,0.923,0.008,100.00
50000,4,0.002826,3.637294,3.635,0.918,0.008,100.00
50000,4,0.002656,3.645401,3.643,0.920,0.009,100.00
50000,4,0.002616,3.707606,3.702,0.938,0.011,100.00
50000,4,0.002737,3.674554,3.672,0.927,0.008,100.00
50000,4,0.002665,3.666689,3.664,0.925,0.008,100.00
50000,4,0.002597,3.705574,3.698,0.939,0.013,100.00
50000,4,0.002533,3.667540,3.664,0.926,0.009,100.00
50000,4,0.002657,3.681581,3.678,0.929,0.009,100.00
50000,4,0.002436,3.687327,3.683,0.930,0.010,100.00
50000,4,0.002581,3.674045,3.671,0.927,0.009,100.00
50000,4,0.002524,3.680976,3.677,0.928,0.009,100.00
50000,4,0.002410,3.712372,3.707,0.937,0.011,100.00
50000,4,0.002683,3.624580,3.620,0.915,0.010,100.00
50000,4,0.002619,3.735758,3.733,0.942,0.009,100.00
50000,4,0.002728,3.697636,3.696,0.933,0.008,100.00
50000,4,0.002577,3.669982,3.667,0.925,0.008,100.00
50000,4,0.002538,3.694804,3.692,0.933,0.009,100.00
50000,4,0.002537,3.655407,3.653,0.923,0.008,100.00
50000,4,0.002538,3.634004,3.632,0.916,0.008,100.00
50000,4,0.002716,3.668569,3.663,0.927,0.011,100.00
50000,4,0.002610,3.577314,3.575,0.904,0.009,100.00
50000,4,0.002566,3.638228,3.633,0.919,0.011,100.00
50000,4,0.002589,3.616979,3.614,0.912,0.009,100.00
50000,4,0.002783,3.686749,3.683,0.931,0.010,100.00
50000,4,0.002840,3.630706,3.629,0.916,0.008,100.00
50000,4,0.002793,3.644135,3.642,0.919,0.008,100.00
50000,4,0.002631,3.620015,3.618,0.914,0.009,100.00
