dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
50000,0,0.000602,13.345797,13.303,13.722,0.046,97.29
50000,0,0.000592,13.246461,13.207,13.300,0.043,99.61
50000,0,0.000534,12.941375,12.921,12.965,0.024,99.84
50000,0,0.000587,12.913027,12.894,12.936,0.022,99.84
50000,0,0.000546,12.940999,12.920,12.963,0.024,99.85
50000,0,0.000593,12.927775,12.908,12.952,0.023,99.83
50000,0,0.000554,12.903086,12.887,12.924,0.019,99.85
50000,0,0.000555,12.916929,12.895,12.940,0.025,99.84
50000,0,0.000590,12.930126,12.910,12.956,0.023,99.82
50000,0,0.000536,12.963773,12.946,12.984,0.021,99.87
50000,0,0.000592,12.905626,12.886,12.928,0.023,99.85
50000,0,0.000541,12.922270,12.907,12.946,0.018,99.83
50000,0,0.000584,12.971186,12.949,12.995,0.025,99.83
50000,0,0.000563,12.911619,12.893,12.936,0.022,99.83
50000,0,0.000602,12.914489,12.896,12.935,0.022,99.86
50000,0,0.000525,12.936562,12.916,12.961,0.024,99.83
50000,0,0.000539,12.957397,12.939,12.981,0.021,99.84
50000,0,0.000537,12.932477,12.916,12.952,0.020,99.87
50000,0,0.000555,12.937701,12.918,12.962,0.023,99.84
50000,0,0.000639,12.982646,12.965,13.016,0.021,99.77
50000,0,0.000540,12.905532,12.884,12.927,0.024,99.86
50000,0,0.000598,12.890667,12.871,12.913,0.022,99.84
50000,0,0.000552,12.928863,12.907,12.953,0.024,99.84
50000,0,0.000532,12.929680,12.909,12.952,0.023,99.85
50000,0,0.000540,13.119868,13.083,13.217,0.040,99.29
50000,0,0.000659,13.088758,13.057,13.136,0.035,99.66
50000,0,0.000554,12.965629,12.948,12.994,0.020,99.81
50000,0,0.000639,12.929639,12.910,12.956,0.022,99.82
50000,0,0.000545,12.906388,12.886,12.931,0.023,99.83
50000,0,0.000539,12.924905,12.906,12.947,0.021,99.84
50000,0,0.000549,12.956215,12.937,12.976,0.022,99.87
50000,0,0.000626,13.037247,13.016,13.064,0.024,99.81
50000,0,0.000577,12.963422,12.948,12.984,0.018,99.86
50000,0,0.000638,12.923814,12.906,12.947,0.021,99.84
50000,0,0.000623,12.896336,12.879,12.918,0.020,99.85
50000,0,0.000590,12.968442,12.949,12.991,0.022,99.85
50000,0,0.000527,12.893994,12.876,12.916,0.021,99.85
50000,0,0.000605,12.974613,12.958,12.997,0.020,99.85
50000,0,0.000538,13.012111,12.990,13.038,0.025,99.82
50000,0,0.000644,12.979344,12.962,13.001,0.020,99.85
50000,0,0.000655,12.974058,12.959,12.993,0.018,99.87
50000,0,0.000548,12.968830,12.948,12.991,0.024,99.85
50000,0,0.000577,12.991860,12.970,13.016,0.024,99.84
50000,0,0.000677,12.986052,12.970,13.007,0.019,99.86
50000,0,0.000622,12.988315,12.969,13.011,0.022,99.84
50000,0,0.000627,12.970253,12.955,12.991,0.018,99.86
50000,0,0.000565,13.002125,12.980,13.024,0.025,99.85
50000,0,0.000543,12.949829,12.929,12.976,0.023,99.82
50000,0,0.000580,12.904791,12.887,12.927,0.021,99.84
50000,0,0.000550,12.926744,12.909,12.948,0.021,99.85
