dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
50000000,32,5.262587,2.738646,6.261,1.715,1.774,100.00
50000000,32,5.347094,2.703717,6.330,1.715,1.759,100.00
50000000,32,5.284077,2.759647,6.297,1.732,1.782,100.00
50000000,32,5.282514,2.714735,6.275,1.707,1.758,100.00
50000000,32,5.072689,2.663596,6.068,1.723,1.702,100.00
50000000,32,5.232425,2.696073,6.242,1.722,1.722,100.00
50000000,32,5.304729,2.731780,6.333,1.735,1.737,100.00
50000000,32,5.381905,2.768958,6.386,1.735,1.802,100.00
50000000,32,5.237840,2.747824,6.237,1.712,1.786,100.00
50000000,32,5.418852,2.720861,6.413,1.708,1.763,100.00
50000000,32,5.415691,2.653859,6.406,1.733,1.697,100.00
50000000,32,5.403939,2.750837,6.415,1.735,1.775,100.00
50000000,32,5.435105,2.778942,6.446,1.740,1.804,100.00
50000000,32,5.287717,2.775793,6.312,1.722,1.787,100.00
50000000,32,5.409896,2.715034,6.415,1.714,1.744,100.00
50000000,32,5.290794,2.714724,6.269,1.686,1.771,100.00
50000000,32,5.322316,2.729971,6.326,1.719,1.763,100.00
50000000,32,5.438557,2.696940,6.438,1.708,1.734,100.00
50000000,32,5.324149,2.724268,6.318,1.696,1.764,100.00
50000000,32,5.341261,2.702585,6.333,1.701,1.748,100.00
50000000,32,5.246902,2.745827,6.257,1.716,1.767,100.00
50000000,32,5.300919,2.760026,6.287,1.711,1.809,100.00
50000000,32,5.161807,2.589852,6.167,1.737,1.619,100.00
50000000,32,5.329530,2.728459,6.327,1.706,1.768,100.00
50000000,32,5.425112,2.718311,6.427,1.716,1.751,100.00
50000000,32,5.395065,2.741913,6.400,1.732,1.773,100.00
50000000,32,5.340248,2.725474,6.348,1.710,1.755,100.00
50000000,32,5.432822,2.695630,6.430,1.714,1.735,100.00
50000000,32,5.330193,2.618329,6.316,1.711,1.665,100.00
50000000,32,5.380474,2.743750,6.382,1.726,1.777,100.00
50000000,32,5.296941,2.685213,6.277,1.679,1.741,100.00
50000000,32,5.230294,2.730040,6.225,1.710,1.770,100.00
50000000,32,5.273023,2.721168,6.265,1.704,1.765,100.00
50000000,32,5.314295,2.697168,6.297,1.712,1.751,100.00
50000000,32,5.381434,2.677487,6.379,1.711,1.712,100.00
50000000,32,5.324039,2.712416,6.331,1.726,1.741,100.00
50000000,32,5.298628,2.705376,6.279,1.680,1.762,100.00
50000000,32,5.401508,2.708517,6.384,1.702,1.762,100.00
50000000,32,5.335253,2.760386,6.347,1.718,1.783,100.00
50000000,32,5.393190,2.753423,6.387,1.731,1.794,100.00
50000000,32,5.383463,2.734743,6.395,1.719,1.757,100.00
50000000,32,5.429796,2.691417,6.412,1.694,1.743,100.00
50000000,32,5.269105,2.747422,6.268,1.704,1.781,100.00
50000000,32,5.401937,2.733174,6.413,1.732,1.760,100.00
50000000,32,5.267812,2.728889,6.277,1.707,1.753,100.00
50000000,32,5.189513,2.726807,6.189,1.711,1.760,100.00
50000000,32,5.403058,2.749861,6.419,1.741,1.770,100.00
50000000,32,5.268073,2.728848,6.256,1.700,1.777,100.00
50000000,32,5.439862,2.750289,6.447,1.724,1.777,100.00
50000000,32,5.308878,2.724267,6.322,1.723,1.747,100.00
